ID,Restaurant,Address,Time,Price,District,latitude,longitude
324,Hủ Tiếu Hồng Phát Thảo Điền - Xuân Thủy,"102A Xuân Thủy, P. Thảo Điền, Quận 2, TP. HCM",,45.000 - 300.000,Quận 2,10.8030458,106.7306788
325,Chicken Story - Gà Chiên Hàn Quốc - Song Hành,"467A Song Hành, P. An Phú, Quận 2, TP. HCM",,60.000 - 300.000,Quận 2,10.8017686,106.7463777
326,Nhà Hàng Sành Quán - Món Ngon Lạ,"22 Song Hành, Quận 2, TP. HCM",,20.000 - 100.000,Quận 2,10.799225,106.7333281
327,Há Cảo Nhà Làm - Song Hành,"Lô B Song Hành, P. An Phú, Quận 2, TP. HCM",,20.000 - 40.000,Quận 2,0.0,0.0
328,"Bà Tư Huế - Bún Bò, Phở Bò & Lẩu Bò","65 Nguyễn Tư Nghiêm, P. Bình Trưng Tây, Quận 2, TP. HCM",,35.000 - 250.000,Quận 2,10.7857306,106.7622587
329,Ớt Xanh 1 - Cháo Ếch Singapore,"Nhà Số 15 Đường 31D, P. An Phú, Thành Phố Thủ Đức, TP. HCM",,20.000 - 150.000,Quận 2,0.0,0.0
330,The Black Banh - Fresh Juicy Burgers,"35 Võ Trường Toản, P. An Phú, Quận 2, TP. HCM",,10.000 - 142.000,Quận 2,10.803776,106.7478993
331,Cheese Hotdog - Phô Mai Tan Chảy - Nguyễn Thị Định,"148 Nguyễn Thị Định, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",,15.000 - 100.000,Quận 2,10.7888613,106.7549872
332,Điểm Tâm Nắng Xuân - Bún Bò & Bún Mộc,"1 Đường Số 21, P. Bình Trưng Đông, Quận 2, TP. HCM",,20.000 - 35.000,Quận 2,10.7882812,106.7781904
333,Nhà Hàng Cơm Niêu Sài Gòn - Xuân Thủy,"75 Xuân Thủy, P. Thảo Điền, Quận 2, TP. HCM",,150.000 - 500.000,Quận 2,10.8030458,106.7306788
334,Bếp Chị Ba - Cơm Gà Hải Nam,"23B Lê Văn Miến, P. Thảo Điền, Quận 2, TP. HCM",,10.000 - 80.000,Quận 2,10.8051651,106.7332036
335,Phở Hotpot - Vincom Mega Mall Thảo Điền,"Tầng 4, Lầu 4 Vincom Mega Mall Thảo Điền, 159 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, TP. HCM",,30.000 - 55.000,Quận 2,10.8026487,106.7423989
336,La Vita Bakery - Thảo Điền,"73 Thảo Điền, Quận 2, TP. HCM",,10.000 - 500.000,Quận 2,10.80348595,106.7461399
337,Phở Ông Tây,"16/9 Nguyễn Văn Hưởng, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",,20.000 - 50.000,Quận 2,10.8128787,106.7303323
338,Hokkaido Baked Cheese Tart - Estella Place,"Tầng 4, Estella Place, L4-29B, 88 Song Hành, P. An Phú, Quận 2, TP. HCM",,29.000 - 189.000,Quận 2,10.8017686,106.7463777
339,Cocorico - Gà Nướng Pháp Rotisserie - Đường F,"134 Đường F, P. An Phú, Quận 2, TP. HCM",,59.000 - 329.000,Quận 2,10.7886713,106.7427376
340,Bún Bò Huế Hạnh - Lương Định Của,"76 Lương Định Của, P. An Khánh, Thành Phố Thủ Đức, TP. HCM",,30.000 - 35.000,Quận 2,10.7884171,106.7355113
341,Bob Chef - Nhà Hàng Hàn Quốc - Lexington Residence,"LA - 0104 Lexington Residence, 67 Mai Chí Thọ, P. An Phú, Quận 2, TP. HCM",,80.000 - 450.000,Quận 2,0.0,0.0
342,"Funny Eatery - Bánh Canh, Nui & Hủ Tiếu Mì - Quốc Hương","51 Quốc Hương, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",,45.000 - 50.000,Quận 2,10.8019928,106.732648
343,Cơm Gà Xối Mỡ 1A - Cơm Gà Xối Mỡ - Lương Định Của,"1A Lương Định Của, P. Bình An, Quận 2, TP. HCM",,0 - 0,Quận 2,0.0,0.0
344,Vợ Chồng A Food - Cơm Văn Phòng - Trương Văn Bang,"128 Trương Văn Bang, P. Thạch Mỹ Lợi, Quận 2, TP. HCM",,20.000 - 50.000,Quận 2,0.0,0.0
345,Cugini - Italian Restaurant,"19 Trần Ngọc Diện, P. Thảo Điền, Quận 2, TP. HCM",,100.000 - 500.000,Quận 2,10.8047667,106.7399258
346,Zone - Gaming Lounge & Coffee,"23 Đường Số 7, P. An Phú, Quận 2, TP. HCM",,20.000 - 50.000,Quận 2,10.7890606,106.7425469
347,Mì Quảng Mỹ Sơn - Đường 22,"3 Đường 22, P. An Phú, Quận 2, TP. HCM",,55.000 - 99.000,Quận 2,0.0,0.0
348,Bò Né A Đù,"771a Đường Số 5, P. Bình An, Thành Phố Thủ Đức, TP. HCM",,17.000 - 62.000,Quận 2,10.8798678,106.7650875
349,Nhớ Mãi Quán - Cơm Chiên & Mì Xào - Quốc Hương,"44 Quốc Hương, P. Thảo Điền, Quận 2, TP. HCM",,30.000 - 35.000,Quận 2,10.8019928,106.732648
350,"Quán O Hảo - Bánh Canh, Bánh Bèo & Bánh Đúc Nóng - Đường Số 14","64 Đường Số 14, P. An Khánh, Thành Phố Thủ Đức, TP. HCM",,6.000 - 25.000,Quận 2,0.0,0.0
351,Chả lụa Kim Hoàng Phát - Masteri,"T5 Masteri, 159 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, TP. HCM",,50.000 - 100.000,Quận 2,0.0,0.0
352,The Vintage Emporium Cafe - Thảo Điền,"1 Đường Số 39, P. Thảo Điền, Quận 2, TP. HCM",,40.000 - 100.000,Quận 2,10.802979,106.733939
353,A&T Food - Shop Online,"109 Đường Số 8, P. Bình An, Quận 2, TP. HCM",,10.000 - 150.000,Quận 2,10.8488374,106.7645803
354,Bros Steak - Bò Sốt & Mì Ý - Đường Số 39,"178 Đường Số 39, P. Bình Trưng Tây, Quận 2, TP. HCM",,15.000 - 49.000,Quận 2,10.7833705,106.7665461
355,Dookki Food Truck,"628C Xa Lộ Hà Nội, P. An Phú, Quận 2, TP. HCM",,7.000 - 159.000,Quận 2,10.8029252,106.7468021
356,Red - Vegetarian Food & Drink - The Sun Avenue,"00-28 Tháp S3 The Sun Avenue, 28 Mai Chí Thọ, P. An Phú, Quận 2, TP. HCM",,18.000 - 320.000,Quận 2,0.0,0.0
357,"Hải Phòng Quán - Bánh Đa Cua, Bún Cá & Bún Riêu Chả Lá Lốt","110 Đường 51 Khu Văn Minh, P. An Phú, Quận 2, TP. HCM",06:00 - 21:00,45.000 - 60.000,Quận 2,0.0,0.0
358,Louisiana Famous Fried Chicken - Trần Não,"102 Trần Não, P. Bình An, Quận 2, TP. HCM",,39.000 - 200.000,Quận 2,0.0,0.0
359,Ngọc Linh Quán - Đặc Sản Dê Ninh Bình,"47/1 Quốc Hương, P. Thảo Điền, Quận 2, TP. HCM",,15.000 - 450.000,Quận 2,10.8019928,106.732648
360,Lẩu Công Chúa - Vincom Mega Mall Thảo Điền,"Tầng 5, Gian Hàng F5B - Red Pot Tầng 5, Vincom Mega Mall Thảo Điền, 159 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, TP. HCM",,50.000 - 200.000,Quận 2,10.8026487,106.7423989
361,Kem Ý Gelato Puppy & Cesar - Đường Số 46,"19 Đường Số 46, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",,27.000 - 164.000,Quận 2,10.8081836,106.7296293
362,Bún Sạch - Bò Tươi,"59 Vũ Tông Phan, P. An Phú, Quận 2, TP. HCM",,30.000 - 100.000,Quận 2,10.7972021,106.7421114
363,Thiên Ân Quán - Cơm Văn Phòng,"86A Song Hành, P. An Phú, Quận 2, TP. HCM",,25.000 - 50.000,Quận 2,10.8017686,106.7463777
364,Mr. Singh - Nhà Hàng Ấn Độ,"152 Nguyễn Văn Hưởng, P. Thảo Điền, Quận 2, TP. HCM",,30.000 - 200.000,Quận 2,10.8007203,106.7291981
365,Korean Food & Mexican Chicken,"573 Nguyễn Duy Trinh, P. Bình Trưng Đông, Quận 2, TP. HCM",,10.000 - 300.000,Quận 2,10.7884681,106.7716679
366,Bếp Nhà Thỏ - Foods & Drink - Xuân Thủy,"83 Xuân Thủy, P. Thảo Điền, Quận 2, TP. HCM",,20.000 - 450.000,Quận 2,10.8030458,106.7306788
367,Terrace Cafe - Vincom MegaMall,"Tầng 1, Tầng 1, 161 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, TP. HCM",,50.000 - 300.000,Quận 2,10.8002674,106.7294205
368,Ccomaya Thảo Điền Restaurant - 9 Đường Số 6,"9 Đường Số 6, P. Thảo Điền, Quận 2, TP. HCM",,20.000 - 200.000,Quận 2,10.8058445,106.7399264
369,O Ry - Bún Bò Huế,"39A Lê Văn Thịnh, P. Bình Trưng Đông, Quận 2, TP. HCM",,35.000 - 45.000,Quận 2,10.7819038,106.769449
370,Hà Ký - Hủ Tiếu Mì Tàu,"5 Nguyễn Quý Đức, P. An Phú, Quận 2, TP. HCM",,45.000 - 55.000,Quận 2,10.7961267,106.7388952
371,Cheesecake Ngon - Lê Văn Miến,"23B Lê Văn Miến, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",,20.000 - 55.000,Quận 2,10.8051651,106.7332036
372,Gà Nướng Đất Sét - Shop Online,"79 Song Hành, P. An Phú, Quận 2, TP. HCM",,350.000 - 350.000,Quận 2,10.8017686,106.7463777
373,Trứng Vịt Lộn O ĐEN - Đường 42,"15 Đường 42, P. Bình Trưng Đông, Quận 2, TP. HCM",,10.000 - 11.000,Quận 2,10.78389062,106.7697156
374,Cơm Tấm & Bánh Xèo Miền Tây - Thanh Hằng,"20 Nguyễn Quý Cảnh, P. An Phú, Quận 2, TP. HCM",,20.000 - 120.000,Quận 2,10.7986797,106.7368889
375,Lẩu Dê Cây Bàng - Nguyễn Quý Cảnh,"21 Nguyễn Quý Cảnh, P. An Phú, Quận 2, TP. HCM",,30.000 - 250.000,Quận 2,10.7986797,106.7368889
376,Mì Ơi - Mì Tươi - Quốc Hương,"14E Quốc Hương, P. Thảo Điền, Quận 2, TP. HCM",,60.000 - 115.000,Quận 2,10.8024187,106.7326189
377,Mixue 66 - Quốc Hương,"66 Quốc Hương, P.Thảo Điền, Quận 2, TP. HCM",,0 - 0,Quận 2,10.8019928,106.732648
378,Cơm Nhà O Sim,"311 - I8 Đường E, P. An Phú, Quận 2, TP. HCM",,30.000 - 45.000,Quận 2,0.0,0.0
379,Hai Chị Em - Hamburger & Mì Ý,"8/15 Đường Số 49B, P. Thảo Điển, Quận 2, TP. HCM",,79.000 - 200.000,Quận 2,10.8068026,106.7304561
380,Gánh - Bún Bò Huế & Bún Riêu,"86 Song Hành, P. An Phú, Quận 2, TP. HCM",,40.000 - 60.000,Quận 2,10.8014323,106.7450753
381,Cơm Tấm Sườn Cây 999 - Trần Não,"160 Trần Não, P. An Khánh, Quận 2, TP. HCM",,0 - 0,Quận 2,10.7917537,106.7305497
382,Baba's Kitchen - Ẩm Thực Ấn Độ - Lê Văn Miến,"35 Lê Văn Miến, P. Thảo Điền, Quận 2, TP. HCM",,15.000 - 340.000,Quận 2,10.8051651,106.7332036
383,WICOOK - Ẩm Thực Việt Nam,"251B Lương Định Của, P. An Phú, Quận 2, TP. HCM",,40.000 - 600.000,Quận 2,10.7923093,106.7512226
384,The Lien House - Món Ngon Hà Nội - The Krista Apartment,"T002 The Krista Apartment, 537 Nguyễn Duy Trinh, P. Bình Trưng Tây, Quận 2, TP. HCM",06:30 - 15:00 | 17:00 - 21:30,40.000 - 150.000,Quận 2,0.0,0.0
385,Kiwi Kitchen - Bánh & Món Ngon Nhà Làm - Chung Cư Imperia,"Block C Chung Cư Imperia, Mai Chí Thọ, P. An Phú, Quận 2, TP. HCM",,25.000 - 500.000,Quận 2,0.0,0.0
386,"Bún Thịt Nướng, Bún Xào & Bánh Ướt - Chợ Bình Khánh","K040 Chợ Bình Khánh, Đường Số 7, Quận 2, TP. HCM",06:00 - 12:00,15.000 - 20.000,Quận 2,0.0,0.0
387,Sữa Chua Nhà Làm & Sữa Hạt - Nguyễn Duy Trinh,"359/4 Nguyễn Duy Trinh, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",,0 - 0,Quận 2,10.7883693,106.7580777
388,Stews - Món Ngon Bắc Âu,"Chung Cư Đức Khải, Đường Số 4, P. Bình Khánh, Quận 2, TP. HCM",,100.000 - 150.000,Quận 2,10.7822312,106.7366411
389,Bò Né 86 - Nguyễn Duy Trinh,"403 Nguyễn Duy Trinh, P. Bình Trưng Tây, Quận 2, TP. HCM",,20.000 - 65.000,Quận 2,10.7883693,106.7580777
390,Đặc Sản Hải Phòng - Trương Văn Bang,"126 Trương Văn Bang, P. Thạnh Mỹ Lợi, Quận 2, TP. HCM",,30.000 - 60.000,Quận 2,10.7741948,106.7571817
391,Cơm Gà Phile Áp Chảo - Bếp Cô Mười,"195A Nguyễn Thị Định, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",06:30 - 23:59,0 - 0,Quận 2,10.7888613,106.7549872
392,Bread&Butter Streetfood - Đường Số 11,"14 Đường Số 11, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",,0 - 0,Quận 2,10.8050052,106.7460977
393,Bánh Tráng Muối Tỏi - Cao Thắng,"32/5A Cao Thắng, P. 5, Quận 3, TP. HCM",,10.000 - 100.000,Quận 3,10.76934,106.6846763
394,Tré Trộn Cóc Giang Hoàng - Nguyễn Thượng Hiền,"68 Nguyễn Thượng Hiền, P. 5, Quận 3, TP. HCM",,40.000 - 50.000,Quận 3,10.7704985,106.6863569
395,Bún Bò O Hương - Cách Mạng Tháng 8,"444/2/2 Cách Mạng Tháng 8, P. 11, Quận 3, TP. HCM",,25.000 - 35.000,Quận 3,10.7840693,106.6699458
396,Bready Bánh Mì Tươi - Burger Đĩa Bay - Bà Huyện Thanh Quan,"25 Bà Huyện Thanh Quan, P. 6, Quận 3, TP. HCM",06:15 - 20:30,10.000 - 44.000,Quận 3,0.0,0.0
397,Quán Chay Liên Yến,"7A Trần Văn Đang, P. 9, Quận 3, TP. HCM",,5.000 - 60.000,Quận 3,10.7827114,106.6793185
398,San Fu Lou - Ẩm Thực Quảng Đông - Cao Thắng,"2A Cao Thắng, P. 5, Quận 3, TP. HCM",,30.000 - 190.000,Quận 3,10.76934,106.6846763
399,Bakes Saigon,"47B Trần Cao Vân, P. 6, Quận 3, TP. HCM",,35.000 - 700.000,Quận 3,0.0,0.0
400,Ốc Hút Chụt Chụt,"306/27 Nguyễn Thị Minh Khai, P. 5, Quận 3, TP. HCM",,38.000 - 55.000,Quận 3,10.7693386,106.6853235
401,Naked Sushi & Sashimi,"193A/6 Nam Kì Khởi Nghĩa, P. Võ Thị Sáu, Quận 3, TP. HCM",,40.000 - 200.000,Quận 3,0.0,0.0
402,Bún Ốc Sườn Cô Sáu - Hai Bà Trưng,"457 Hai Bà Trưng, P. 8, Quận 3, TP. HCM",06:30 - 23:57,30.000 - 35.000,Quận 3,0.0,0.0
403,Kebab Sài Gòn - Nguyễn Thượng Hiền,"9 Nguyễn Thượng Hiền, P. 5, Quận 3, TP. HCM",06:45 - 21:10,25.000 - 45.000,Quận 3,10.7704985,106.6863569
404,Bảo Bảo - Bánh Mì Thịt Bò Nướng - Nguyễn Thượng Hiền,"1 Nguyễn Thượng Hiền, P. 5, Quận 3, TP. HCM",,25.000 - 25.000,Quận 3,10.7704985,106.6863569
405,Matsu Sushi - Trường Sa,"886 Trường Sa, P. 13, Quận 3, TP. HCM",,30.000 - 80.000,Quận 3,10.7846169,106.6789911
406,The Jade - Bánh Sầu Riêng Kem Lạnh - Cách Mạng Tháng 8,"358/2/15A Cách Mạng Tháng 8, P. 10, Quận 3, TP. HCM",,15.000 - 40.000,Quận 3,10.780635,106.676358
407,Bánh Tráng Ngon Ngon - Hoàng Sa,"563/12 Hoàng Sa, P. 7, Quận 3, TP. HCM",,5.000 - 22.000,Quận 3,0.0,0.0
408,Sâm Bổ Lượng 399 - Nguyễn Đình Chiểu,"399/14 Nguyễn Đình Chiểu, P. 5, Quận 3, TP. HCM",,10.000 - 33.000,Quận 3,10.7701218,106.6821893
409,Bánh Mứt Thành Long,"291/2 Võ Văn Tần, P. 5, Quận 3, TP. HCM",,30.000 - 200.000,Quận 3,10.7718307,106.6858164
410,No.96 - Quán 96 Lẩu & Nướng - Võ Văn Tần,"133 Võ Văn Tần, P. Võ Thị Sáu, Quận 3, TP. HCM",,30.000 - 220.000,Quận 3,10.774973,106.6888264
411,Xôi Mặn Ruốc Tươi Kim Nguyệt Viên - Nguyễn Đình Chiểu,"376/48 Nguyễn Đình Chiểu, P.4, Quận 3, TP. HCM",06:00 - 23:00,0 - 0,Quận 3,10.7741061,106.6859522
412,TOUS les JOURS - Cách Mạng Tháng 8,"66B Cách Mạng Tháng 8, Quận 3, TP. HCM",,20.000 - 66.000,Quận 3,10.7736152,106.6893194
413,Iron Steak - Hồ Xuân Hương,"65B Hồ Xuân Hương, Quận 3, TP. HCM",,20.000 - 90.000,Quận 3,10.7753081,106.6863852
414,"The Brownies - Bánh Brownies, Trà & Cafe","70 Đường Số 2, P. 4, Quận 3, TP. HCM",,12.000 - 250.000,Quận 3,0.0,0.0
415,Shin Foodcourt - Cơm Chiên & Mì Xào,"80/58 Trần Quang Diệu, P. 14, Quận 3, TP. HCM",,20.000 - 40.000,Quận 3,10.7892822,106.6781758
416,Cô Giàu - Bánh Mì & Xôi Mặn,"147 Trần Văn Đang, P. 11, Quận 3, TP. HCM",,12.000 - 20.000,Quận 3,10.783588,106.6746026
417,Gogi House - Thịt Nướng Hàn Quốc - Lê Văn Sỹ,"254 - 256 Lê Văn Sỹ, Quận 3, TP. HCM",,300.000 - 550.000,Quận 3,10.7868668,106.6797258
418,Bánh Cuốn Song Mộc - Vườn Chuối,"107 Vườn Chuối, P. 4, Quận 3, TP. HCM",06:00 - 12:00,25.000 - 40.000,Quận 3,10.7736451,106.6830193
419,Th'not - Thốt Nốt Sốt Trái Cây,"134 Vườn Chuối, P. 4, Quận 3, TP. HCM",,0 - 0,Quận 3,10.7736451,106.6830193
420,Bánh Mì Chấm Hung Tubes - Nam Kỳ Khởi Nghĩa,"284 Đường Nam Kỳ Khởi Nghĩa, P. Võ Thị Sáu, Quận 3, TP. HCM",,15.000 - 99.000,Quận 3,0.0,0.0
421,TOUS les JOURS - Nam Kỳ Khởi Nghĩa,"382 Nam Kỳ Khởi Nghĩa, P. 8, Quận 3, TP. HCM",,10.000 - 500.000,Quận 3,0.0,0.0
422,Bánh Tráng Trộn Hằng An,"219/15 Trần Văn Đang (Mặt Tiền Đỗ Thị Lời), P. 11, Quận 3, TP. HCM",,15.000 - 25.000,Quận 3,0.0,0.0
423,Yumi Fruit - Trái Cây Sạch & Đồ Ăn Vặt - Shop Online - Nguyễn Đình Chiểu,"241/41 Nguyễn Đình Chiểu, P. 5, Quận 3, TP. HCM",,20.000 - 100.000,Quận 3,10.7701218,106.6821893
424,Mì Quảng Ăn Là Nhớ - Trần Quốc Thảo,"123A Trần Quốc Thảo, P. 7, Quận 3, TP. HCM",06:50 - 20:45,40.000 - 66.000,Quận 3,0.0,0.0
425,Chảo Restaurant - Bánh Mì Chảo,"31 Trần Quang Diệu, P. 14, Quận 3, TP. HCM",,25.000 - 70.000,Quận 3,10.7892822,106.6781758
426,Thanh Hương - Cháo Lòng Hà Nội - Trần Văn Đang,"137 Trần Văn Đang, P. 11, Quận 3, TP. HCM",,10.000 - 45.000,Quận 3,10.783588,106.6746026
427,Hủ Tiếu Bò Viên 1122,"Đối diện 1046/25 Trường Sa, P. 12, Quận 3, TP. HCM",,30.000 - 40.000,Quận 3,0.0,0.0
428,Gà Rán Chicken Plus - Trần Quốc Toản,"55 Trần Quốc Toản, P. 8, Quận 3, TP. HCM",,35.000 - 219.000,Quận 3,0.0,0.0
429,Hương Hà Nội - Bún Chả & Bún Đậu - Nguyễn Sơn Hà,"35 Nguyễn Sơn Hà, P. 5, Quận 3, TP. HCM",,35.000 - 100.000,Quận 3,10.7696288,106.6843522
430,Cháo Sườn Kim Oanh - Lê Văn Sỹ,"Mặt Tiền Chợ Nguyễn Văn Trỗi, Đường Lê Văn Sỹ, Quận 3, TP. HCM",06:00 - 12:30,15.000 - 30.000,Quận 3,0.0,0.0
431,Bánh Tráng Trộn Giàu,"260 Nguyễn Thượng Hiền, P. 4, Quận 3, TP. HCM",,10.000 - 20.000,Quận 3,10.7742017,106.6839669
432,Xôi Xéo Lá Sen,"148A Lý Chính Thắng, P. 7, Quận 3, TP. HCM",06:30 - 12:30 | 17:00 - 19:30,15.000 - 20.000,Quận 3,0.0,0.0
433,Bánh Tráng Tỏi 019 - Trần Quang Diệu,"019 Lô B Chung Cư Trần Quang Diệu, Trần Quang Diệu, P. 13, Quận 3, TP. HCM",,10.000 - 20.000,Quận 3,0.0,0.0
434,Bột Chiên Đạt Thành,"277 Võ Văn Tần, P. 5, Quận 3, TP. HCM",,20.000 - 33.000,Quận 3,10.7693225,106.6835783
435,Lẩu Gà Lá É Phú Yên Hội Ngộ - 716B Trường Sa,"716B Trường Sa, P. 14, Quận 3, TP. HCM",,50.000 - 200.000,Quận 3,10.7882905,106.6819114
436,Cô Na - Xôi Chiên & Chuối Chiên 5 Sao,"20 Kì Đồng, P. 9, Quận 3, TP. HCM",,25.000 - 30.000,Quận 3,0.0,0.0
437,Há Cảo & Xíu Mại Nhà Làm 385 - Nguyễn Đình Chiểu,"385/41 Nguyễn Đình Chiểu, P. 5, Quận 3, TP. HCM",,0 - 0,Quận 3,10.7701218,106.6821893
438,Mì Xí Quách 315,"315/20C Lê Văn Sỹ, P. 13, Quận 3, TP. HCM",07:00 - 12:00,30.000 - 40.000,Quận 3,0.0,0.0
439,Mi En House Salad - Healthy Food & Eatclean,"284/4B Võ Văn Tần, P. 5, Quận 3, TP. HCM",,38.000 - 48.000,Quận 3,10.7693225,106.6835783
440,Xôi Déo - Kỳ Đồng,"14/12 Kỳ A4 Kỳ Đồng, P. 9, Quận 3, TP. HCM",06:30 - 16:00,15.000 - 70.000,Quận 3,10.7831398,106.6824198
441,BaaBoo - Bánh Tươi Nhà Làm,"129/18 Lý Chính Thắng, P. Võ Thị Sáu, Quận 3, TP. HCM",,75.000 - 140.000,Quận 3,10.7886426,106.6852456
442,Cháo Ếch Senta - Trần Cao Vân,"41 Trần Cao Vân, P. 6, Quận 3, TP. HCM",,60.000 - 60.000,Quận 3,0.0,0.0
443,Bánh Mì Chay Vạn Phước - Món Chay - Lê Văn Sỹ,"195 Lê Văn Sỹ, Phường 13, Quận 3, TP. HCM",06:00 - 21:00,0 - 0,Quận 3,10.7867835,106.6796794
444,Phá Lấu Dì Mai,"165/3 Trần Văn Đang, P. 11, Quận 3, TP. HCM",,20.000 - 25.000,Quận 3,10.783588,106.6746026
445,The Fitchicken - Shop Online - Trần Văn Đang,"171B Trần Văn Đang, P. 11, Quận 3, TP. HCM",,50.000 - 200.000,Quận 3,10.783588,106.6746026
446,Bánh Giò Nem Chả Dì Linh - Hai Bà Trưng,"Vỉa Hè 185 Hai Bà Trưng, Quận 3, TP. HCM",,15.000 - 25.000,Quận 3,0.0,0.0
447,Phở Chua Lạng Sơn - Nguyễn Thiện Thuật,"242/101 Nguyễn Thiện Thuật, P. 3, Quận 3, TP. HCM",,25.000 - 39.000,Quận 3,10.7709443,106.6795607
448,Bánh Mì Phô Mai Tan Chảy - Crepe Sầu Riêng Online,"21/8 Trần Văn Đang, P. 9, Quận 3, TP. HCM",,80.000 - 150.000,Quận 3,10.7827114,106.6793185
449,Bánh Tráng Trộn - 147 Nguyễn Thượng Hiền,"147 Nguyễn Thượng Hiền, P. 4, Quận 3, TP. HCM",,10.000 - 50.000,Quận 3,10.7742017,106.6839669
450,"Mì Ý, Bánh Canh Trảng Bàng & Bún Chả Giò - Cô Ba Hiền","Số 11 Đường Số 5, P. 4, Quận 3, TP. HCM",,0 - 0,Quận 3,10.7734336,106.6818314
451,Texas Chicken - Cao Thắng,"64 Cao Thắng, P. 04, Quận 3, TP. HCM",,50.000 - 220.000,Quận 3,0.0,0.0
452,Cơm Tấm Cali - Võ Văn Tần,"449 Võ Văn Tần, Quận 3, TP. HCM",,25.000 - 66.000,Quận 3,10.7703072,106.6844973
453,Steakzone Quận 3 - Quán Ăn - 491/2 Nguyễn Đình Chiểu,"491/2 Nguyễn Đình Chiểu, P. 2, Quận 3, TP. HCM",,0 - 0,Quận 3,10.7696993,106.6817918
454,Chè Chuối Nướng Nam Bộ Út Lúa - Lý Chính Thắng,"226 Lý Chính Thắng, P. 9, Quận 3, TP. HCM",,10.000 - 22.000,Quận 3,10.778989,106.681928
455,Lẩu Bò Nhà Gỗ - Lý Thái Tổ,"162 Lý Thái Tổ, P. 1, Quận 3, TP. HCM",,20.000 - 150.000,Quận 3,10.7671042,106.6764627
456,No.96 - Quán 96 Lẩu & Nướng,"117 Võ Văn Tần, Quận 3, TP. HCM",,30.000 - 220.000,Quận 3,10.7703072,106.6844973
457,Ẩm thực Thai Lan - Món Thái - Thai Market Restaurant - 95 Cao Thắng,"95 Cao Thắng, P. 3, Quận 3, TP. HCM",,30.000 - 300.000,Quận 3,10.770106,106.6820631
458,Chè Kỳ Đồng,"16C Kỳ Đồng, P. 9, Quận 3, TP. HCM",,10.000 - 22.000,Quận 3,10.7831398,106.6824198
459,Jjang! - Cơm Trộn Hàn Quốc - Cách Mạng Tháng 8,"372/17 Cách Mạng Tháng 8, P. 10, Quận 3, TP. HCM",00:00 - 23:59,10.000 - 100.000,Quận 3,10.780635,106.676358
460,Kai - Mì Trộn Indomie,"184/18 Lý Chính Thắng, P. 9, Quận 3, TP. HCM",,15.000 - 31.000,Quận 3,10.778989,106.681928
461,Nhà Hàng Bà Cô Lốc Cốc - Trần Cao Vân,"40A Trần Cao Vân, P. Võ Thị Sáu, Quận 3, TP. HCM",,20.000 - 100.000,Quận 3,10.7837928,106.6970271
462,Bánh Xèo Miền Tây - Trần Văn Đang,"139 Trần Văn Đang, Quận 3, TP. HCM",,5.000 - 25.000,Quận 3,10.7827114,106.6793185
463,Bánh Tráng Cô Tuyền - Hoàng Sa,"453 Hoàng Sa, P. 8, Quận 3, TP. HCM",,5.000 - 135.000,Quận 3,0.0,0.0
464,Bánh Bông Lan Trứng Muối An Phú - Shop Online,"108/46 Trần Quang Diệu, P. 14, Quận 3, TP. HCM",,50.000 - 180.000,Quận 3,10.7892822,106.6781758
465,Cơm Gà Thượng Hải - Ẩm Thực Trung Hoa,"21 - 23 Võ Văn Tần, P. 6, Quận 3, TP. HCM",,65.000 - 165.000,Quận 3,10.77814164,106.6919788
466,Sữa Chua Trân Châu Hạ Long - Lê Văn Sỹ,"294 Lê Văn Sỹ, P. 14, Quận 3, TP. HCM",,10.000 - 50.000,Quận 3,10.7861078,106.6810825
467,Châu Sài Gòn - Bánh Trái Cây Đậu Xanh,"1098 Trường Sa, P. 12, Quận 3, TP. HCM",,50.000 - 100.000,Quận 3,10.7888641,106.6686985
468,Pikachu - Bánh Mì Cay Hải Phòng,"71 Đường Số 4, P. 4, Quận 3, TP. HCM",07:00 - 21:00,5.000 - 20.000,Quận 3,0.0,0.0
469,4GsTexas Bakery - Võ Văn Tần,"447 Võ Văn Tần, P. 5, Quận 3, TP. HCM",07:00 - 21:00,15.000 - 350.000,Quận 3,10.7693225,106.6835783
470,Cơm Chiên Chảo Lửa - Gà Xối Mỡ - Cách Mạng Tháng 8,"372/17 Cách Mạng Tháng 8, P. 10, Quận 3, TP. HCM",00:00 - 23:59,10.000 - 100.000,Quận 3,10.7809641,106.6757488
